2023-02-16;18,8346
2023-03-02;18,8446
2023-03-10;18,8046
2023-03-15;19,0946
2023-03-24;19,1146
2023-03-28;19,5346
2023-04-04;19,1146
2023-04-11;19,1246
2023-04-19;18,9846
2023-04-25;18,9446
2023-05-03;18,8846
2023-05-09;18,8446
2023-05-17;18,8146
2023-05-23;18,7846
2023-05-30;18,6646
2023-06-05;18,5846
2023-06-12;18,4746
2023-06-21;18,3746
2023-06-30;18,2846
2023-07-05;
2023-07-12;
2023-07-21;
2023-08-01;18,3046
2023-08-07;18,4846
2023-08-15;18,6646
2023-08-23;18,6546
2023-08-25;18,6446
2023-08-29;18,6246
2023-09-05;18,6946
2023-09-12;18,6446
2023-09-13;18,6346
2023-09-19;18,5646
2023-09-26;18,4946
2023-10-03;18,4246
2023-10-10;18,4946
2023-10-17;
2023-10-18;18,5246
2023-10-23;18,5646
2023-11-01;18,5946
2023-11-07;18,8546
2023-11-15;18,8446
2023-11-22;18,8346
2023-11-29;18,7846
2023-11-30;18,7746
2023-12-06;18,7246
2023-12-12;18,7246
2023-12-19;18,9246
2023-12-29;18,9846
2024-01-03;19,0646
2024-01-08;18,9946
2024-01-16;18,9046
2024-01-23;18,9546
2024-01-31;19,1246
2024-02-06;19,0946
2024-02-14;18,9746
2024-02-20;19,3046
2024-02-27;19,2446
2024-03-07;19,1046
2024-03-12;19,0346
2024-03-19;18,9546
2024-03-28;18,9046
2024-04-02;18,8946
2024-04-10;18,9946
2024-04-16;19,0046
2024-04-25;18,9846
2024-05-03;18,9946
2024-05-07;18,9546
2024-05-14;18,9046
2024-05-21;18,8546
2024-05-28;18,7646
2024-06-07;18,5146
2024-06-11;
2024-06-13;
2024-06-14;18,4546
2024-06-18;18,4246
2024-06-25;18,2946
2024-07-02;
2024-07-09;18,2146
2024-07-16;
2024-07-24;
2024-07-31;
2024-08-06;17,8446
2024-08-13;
2024-08-20;17,6646
2024-08-27;
2024-09-06;17,6246
2024-09-10;17,6546
2024-09-17;17,8546
2024-09-24;17,8846
2024-10-02;18,0446
2024-10-07;18,1146
2024-10-15;18,4146
2024-10-22;18,4446
2024-10-30;18,4546
2024-11-04;18,3946
2024-11-11;18,3746
2024-11-19;
2024-11-27;18,2646
2024-12-05;
2024-12-10;18,4746
2024-12-17;
2024-12-18;
2024-12-27;
2024-12-30;18,5646
2025-01-08;18,5846
2025-01-14;
2025-01-21;
2025-01-29;18,8446
2025-02-04;
2025-02-11;
2025-02-19;
2025-02-25;18,7046
2025-02-27;
2025-03-04;
2025-03-07;
2025-03-11;
2025-03-18;
2025-03-21;
2025-03-25;18,4546
2025-03-28;
2025-03-31;
2025-04-02;
2025-04-08;
2025-04-16;
2025-04-22;
2025-04-30;18,1546
2025-05-06;
2025-05-13;18,0346
2025-05-20;17,9646
2025-05-28;17,8846
2025-06-03;17,8046
2025-06-10;17,7946
2025-06-17;17,7246
2025-06-25;17,6746
2025-07-01;17,5746
2025-07-09;17,5346
2025-07-15;17,5846
2025-07-21;17,5246
2025-07-29;17,3646
2025-08-05;17,6946
2025-08-12;17,8146
2025-08-19;17,6846
2025-08-26;17,6146
2025-09-03;17,7846
2025-09-10;17,8846
2025-09-17;18,0846
2025-09-23;18,1646
2025-09-30;18,2146
2025-10-07;18,2546
2025-10-14;18,3446
2025-10-20;18,3146
2025-10-28;18,3346
2025-11-04;18,4646
2025-11-12;18,4646
2025-11-18;18,4746
2025-11-25;18,4546
2025-12-02;18,4746
2025-12-08;18,5246
2025-12-16;18,6446
2025-12-29;18,6446
2026-01-07;18,5746
2026-01-12;18,5546
2026-01-21;18,8646
